Order ID,Date,Product,Category,Export Country,Quantity,Unit Price (USD),Revenue (USD),Order Status
TW-1005,2025-01-04,Jute Area Rug,Rugs,Japan,53,48.27,2558.31,Delivered
TW-1021,2025-01-06,Block-Print Table Runner,Table Linen,Japan,97,20.29,1968.13,In Production
TW-1003,2025-01-16,Handwoven Cushion Cover,Cushions,United Kingdom,74,14.99,1109.26,Shipped
TW-1105,2025-01-16,Jute Area Rug,Rugs,United Kingdom,12,51.56,618.72,Delivered
TW-1062,2025-01-21,Nakshi Kantha Throw,Throws,United Kingdom,41,70.42,2887.22,Delivered
TW-1146,2025-01-21,Jute Area Rug,Rugs,United States,93,49.85,4636.05,Delivered
TW-1083,2025-01-24,Jute Area Rug,Rugs,Canada,88,53.76,4730.88,Delivered
TW-1019,2025-01-25,Handwoven Cushion Cover,Cushions,United Kingdom,30,15.52,465.60,Delivered
TW-1087,2025-01-26,Seagrass Basket Set,Storage,United Kingdom,118,27.28,3219.04,Delivered
TW-1104,2025-01-27,Nakshi Kantha Throw,Throws,United Kingdom,18,71.91,1294.38,Shipped
TW-1130,2025-01-27,Nakshi Kantha Throw,Throws,Canada,71,63.23,4489.33,Delivered
TW-1128,2025-01-28,Seagrass Basket Set,Storage,United States,26,30.17,784.42,In Production
TW-1042,2025-01-31,Jute Area Rug,Rugs,United States,59,48.15,2840.85,In Production
TW-1020,2025-02-02,Macrame Wall Hanging,Wall Decor,United States,69,33.79,2331.51,Pending
TW-1015,2025-02-03,Jute Area Rug,Rugs,Canada,82,54.01,4428.82,Delivered
TW-1033,2025-02-04,Handwoven Cushion Cover,Cushions,Australia,19,14.74,280.06,Delivered
TW-1075,2025-02-05,Block-Print Table Runner,Table Linen,Canada,89,18.23,1622.47,In Production
TW-1112,2025-02-05,Seagrass Basket Set,Storage,Germany,11,31.36,344.96,In Production
TW-1051,2025-02-07,Handwoven Cushion Cover,Cushions,United States,82,16.09,1319.38,Delivered
TW-1060,2025-02-08,Block-Print Table Runner,Table Linen,Australia,79,17.23,1361.17,Delivered
TW-1008,2025-02-10,Seagrass Basket Set,Storage,United States,90,30.06,2705.40,In Production
TW-1010,2025-02-10,Jute Area Rug,Rugs,Australia,58,48.27,2799.66,Shipped
TW-1101,2025-02-12,Block-Print Table Runner,Table Linen,United States,120,18.76,2251.20,Delivered
TW-1027,2025-02-13,Block-Print Table Runner,Table Linen,United States,18,20.62,371.16,Delivered
TW-1082,2025-02-17,Jute Area Rug,Rugs,Japan,38,53.34,2026.92,Delivered
TW-1002,2025-02-22,Block-Print Table Runner,Table Linen,Japan,79,17.41,1375.39,Delivered
TW-1129,2025-02-22,Handwoven Cushion Cover,Cushions,Germany,70,14.64,1024.80,Delivered
TW-1055,2025-02-23,Jute Area Rug,Rugs,United Kingdom,23,52.73,1212.79,Delivered
TW-1086,2025-02-24,Macrame Wall Hanging,Wall Decor,United Kingdom,112,36.53,4091.36,Delivered
TW-1113,2025-02-24,Macrame Wall Hanging,Wall Decor,Canada,91,36.11,3286.01,Delivered
TW-1038,2025-02-25,Jute Area Rug,Rugs,United Kingdom,78,49.91,3892.98,Delivered
TW-1156,2025-02-28,Macrame Wall Hanging,Wall Decor,Canada,92,35.73,3287.16,Delivered
TW-1111,2025-03-03,Seagrass Basket Set,Storage,Japan,54,29.58,1597.32,Shipped
TW-1154,2025-03-04,Handwoven Cushion Cover,Cushions,Canada,87,15.54,1351.98,Shipped
TW-1142,2025-03-05,Macrame Wall Hanging,Wall Decor,Japan,99,32.98,3265.02,Delivered
TW-1028,2025-03-06,Jute Area Rug,Rugs,Germany,80,47.19,3775.20,Delivered
TW-1159,2025-03-11,Handwoven Cushion Cover,Cushions,United Kingdom,111,15.69,1741.59,Delivered
TW-1114,2025-03-20,Macrame Wall Hanging,Wall Decor,United Kingdom,76,36.58,2780.08,Delivered
TW-1059,2025-03-24,Block-Print Table Runner,Table Linen,United States,100,18.64,1864.00,Delivered
TW-1013,2025-03-25,Macrame Wall Hanging,Wall Decor,United States,91,34.80,3166.80,Delivered
TW-1064,2025-03-25,Jute Area Rug,Rugs,Australia,13,47.32,615.16,Pending
TW-1108,2025-03-25,Nakshi Kantha Throw,Throws,United Kingdom,13,73.83,959.79,Shipped
TW-1141,2025-03-26,Nakshi Kantha Throw,Throws,Germany,115,69.15,7952.25,Delivered
TW-1081,2025-03-28,Block-Print Table Runner,Table Linen,United Kingdom,75,19.49,1461.75,Shipped
TW-1078,2025-03-31,Seagrass Basket Set,Storage,Germany,61,29.67,1809.87,Delivered
TW-1153,2025-04-15,Nakshi Kantha Throw,Throws,Germany,46,67.45,3102.70,Shipped
TW-1095,2025-04-16,Macrame Wall Hanging,Wall Decor,United States,108,34.14,3687.12,Shipped
TW-1052,2025-04-20,Seagrass Basket Set,Storage,United Kingdom,54,31.53,1702.62,In Production
TW-1094,2025-04-20,Handwoven Cushion Cover,Cushions,United States,52,14.82,770.64,Delivered
TW-1032,2025-04-28,Seagrass Basket Set,Storage,United Kingdom,19,30.56,580.64,Delivered
